timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1590499225.69991302,49914193,0.0,0.07,3.99,0.42,0.0,0.13,0.01,0.0
1590499225.73989701,49954177,0.0,0.07,3.99,0.42,0.0,0.12,0.01,0.0
1590499225.77988100,49994161,0.0,0.07,3.99,0.43,0.0,0.11,0.01,0.0
1590499225.81986523,50034145,0.0,0.07,4.47,0.43,0.0,0.1,0.01,0.0
1590499225.85984921,50074129,0.0,0.07,4.47,0.44,0.0,0.09,0.01,0.0
1590499225.89983320,50114113,0.0,0.07,4.47,0.44,0.0,0.08,0.01,0.0
1590499225.93981719,50154097,0.0,0.07,5.93,0.45,0.0,0.07,0.01,0.0
1590499225.97980118,50194081,0.0,0.07,5.93,0.45,0.0,0.07,0.01,0.0
1590499226.01978517,50234065,0.0,0.07,7.0200000000000005,0.45,0.0,0.06,0.01,0.0
1590499226.05976915,50274049,0.0,0.07,7.0200000000000005,0.46,0.0,0.06,0.01,0.0
1590499226.09975314,50314033,0.0,0.07,7.0200000000000005,0.46,0.0,0.05,0.01,0.0
1590499226.13973713,50354017,0.0,0.07,7.87,0.46,0.0,0.04,0.01,0.0
1590499226.17972112,50394001,0.0,0.07,7.87,0.46,0.0,0.04,0.01,0.0
1590499226.21970510,50433985,0.0,0.07,8.41,0.47000000000000003,0.0,0.03,0.01,0.0
1590499226.25968909,50473969,0.0,0.07,8.41,0.47000000000000003,0.0,0.03,0.01,0.0
1590499226.29967308,50513953,0.0,0.07,8.41,0.47000000000000003,0.0,0.03,0.01,0.0
1590499226.33965707,50553937,0.0,0.07,8.78,0.47000000000000003,0.0,0.02,0.01,0.0
1590499226.37964106,50593921,0.0,0.07,8.78,0.48,0.0,0.02,0.01,0.0
1590499226.41962504,50633905,0.0,0.07,9.09,0.48,0.0,0.02,0.01,0.0
1590499226.45960903,50673889,0.0,0.08,9.09,0.48,0.0,0.02,0.01,0.0
1590499226.49959302,50713873,0.0,0.08,9.09,0.48,0.0,0.01,0.01,0.0
1590499226.53957701,50753857,0.0,0.08,9.55,0.48,0.0,0.01,0.01,0.0
1590499226.57956100,50793841,0.0,0.08,9.55,0.48,0.0,0.01,0.01,0.0
1590499226.61954522,50833825,0.0,0.08,10.02,0.48,0.0,0.01,0.01,0.0
1590499226.65952921,50873809,0.0,0.08,10.02,0.48,0.0,0.01,0.01,0.0
1590499226.69951320,50913793,0.0,0.08,10.02,0.48,0.0,0.0,0.01,0.0
1590499226.73949718,50953777,0.0,0.08,10.48,0.48,0.0,0.0,0.01,0.0
1590499226.77948117,50993761,0.0,0.08,10.48,0.48,0.0,0.0,0.01,0.0
1590499226.81946516,51033745,0.0,0.08,10.97,0.48,0.0,0.0,0.01,0.0
1590499226.85944915,51073729,0.0,0.08,10.97,0.48,0.0,0.0,0.01,0.0
1590499226.89943314,51113713,0.0,0.08,10.97,0.48,0.0,0.0,0.01,0.0
1590499226.93941712,51153697,0.0,0.08,11.450000000000001,0.47000000000000003,0.0,0.0,0.01,0.0
1590499226.97940111,51193681,0.0,0.08,11.450000000000001,0.47000000000000003,0.0,0.0,0.01,0.0
1590499227.01938510,51233665,-0.05,0.08,11.74,0.47000000000000003,0.0,0.0,0.01,0.0
1590499227.05936909,51273649,-0.05,0.08,11.74,0.47000000000000003,0.0,0.0,0.01,0.0
1590499227.09935308,51313633,-0.05,0.09,11.74,0.47000000000000003,0.0,0.0,0.01,0.0
1590499227.13933706,51353617,-0.05,0.09,11.9,0.46,0.0,0.0,0.01,0.0
1590499227.17932105,51393601,-0.05,0.09,11.9,0.46,0.0,0.0,0.01,0.0
1590499227.21930504,51433585,-0.05,0.09,12.040000000000001,0.46,0.0,0.0,0.0,0.0
1590499227.25928903,51473569,-0.05,0.09,12.040000000000001,0.46,0.0,0.0,0.0,0.0
1590499227.29927301,51513553,-0.05,0.09,12.040000000000001,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.33925700,51553537,-0.05,0.09,12.21,0.46,0.0,0.0,0.0,0.0
1590499227.37924123,51593521,-0.05,0.09,12.21,0.46,0.0,0.0,0.0,0.0
1590499227.41922522,51633505,-0.05,0.09,12.42,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.45920920,51673489,-0.05,0.09,12.42,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.49919319,51713473,-0.05,0.09,12.42,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.54001021,51754290,-0.05,0.09,12.530000000000001,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.57999420,51794274,-0.05,0.09,12.530000000000001,0.47000000000000003,0.0,0.0,0.0,0.0
1590499227.61997819,51834258,-0.05,0.09,12.65,0.48,0.0,0.0,0.0,0.0
1590499227.65996218,51874242,-0.05,0.09,12.65,0.48,0.0,0.0,0.0,0.0
1590499227.69994617,51914226,-0.05,0.09,12.65,0.49,0.0,0.0,0.0,0.0
1590499227.73993015,51954210,-0.05,0.09,12.66,0.49,0.0,0.0,0.0,0.0
1590499227.77991414,51994194,-0.05,0.09,12.66,0.49,0.0,0.0,0.0,0.0
1590499227.81989813,52034178,-0.05,0.09,12.67,0.5,0.0,0.0,0.0,0.0
1590499227.85988212,52074162,-0.05,0.09,12.67,0.5,0.0,0.0,0.0,0.0
1590499227.89986610,52114146,-0.05,0.09,12.67,0.51,0.0,0.0,0.0,0.0
1590499227.93985009,52154130,-0.05,0.09,12.67,0.51,0.0,0.0,0.0,0.0
1590499227.97983408,52194114,-0.05,0.09,12.67,0.52,0.0,0.0,0.0,0.0
1590499228.01981807,52234098,-0.05,0.09,12.700000000000001,0.53,0.0,0.0,0.0,0.0
1590499228.05980206,52274082,-0.05,0.09,12.700000000000001,0.53,0.0,0.0,0.0,0.0
1590499228.09978604,52314066,-0.05,0.09,12.700000000000001,0.54,0.0,0.0,0.0,0.0
1590499228.13977003,52354050,-0.05,0.09,12.82,0.55,0.0,0.0,0.0,0.0
1590499228.17975402,52394034,-0.05,0.09,12.82,0.55,0.0,0.0,0.0,0.0
1590499228.21973801,52434018,-0.05,0.09,12.96,0.56,0.0,0.0,0.0,0.0
1590499228.25972199,52474002,-0.05,0.09,12.96,0.5700000000000001,0.0,0.0,0.0,0.0
1590499228.29970622,52513986,-0.05,0.09,12.96,0.58,0.0,0.0,0.0,0.0
1590499228.33969021,52553970,-0.05,0.09,13.09,0.59,0.0,0.0,0.0,0.0
1590499228.37967420,52593954,-0.05,0.09,13.09,0.6,0.0,0.0,0.0,0.0
1590499228.41965818,52633938,-0.05,0.09,13.18,0.61,0.0,0.0,0.0,0.0
1590499228.45964217,52673922,-0.05,0.09,13.18,0.61,0.0,0.0,0.0,0.0
1590499228.49962616,52713906,-0.05,0.09,13.18,0.62,0.0,0.0,0.0,0.0
1590499228.53961015,52753890,-0.05,0.09,13.3,0.63,0.0,0.0,0.0,0.0
