RollRate,Roll,DesRoll
-1.92733,-44.1325,-40.023
-1.33923,-44.1806,-40.023
-0.783217,-44.2141,-40.023
-0.258903,-44.2337,-40.023
0.234161,-44.2402,-40.023
0.696484,-44.2343,-40.023
1.12864,-44.2169,-40.023
1.53123,-44.1887,-40.023
1.90494,-44.1504,-40.023
2.25046,-44.1028,-40.023
2.56853,-44.0465,-40.023
2.85994,-43.9823,-40.023
3.12548,-43.9108,-40.023
3.36597,-43.8327,-40.023
3.58228,-43.7485,-40.023
3.77525,-43.659,-40.023
3.94577,-43.5646,-40.023
4.09472,-43.4659,-40.023
4.22301,-43.3636,-40.023
4.33152,-43.258,-40.023
4.42115,-43.1497,-40.023
4.49281,-43.0392,-40.023
4.54738,-42.9269,-40.023
4.58576,-42.8132,-40.023
4.60883,-42.6985,-40.023
4.61745,-42.5833,-40.023
4.61247,-42.4679,-40.023
4.59475,-42.3526,-40.023
4.56511,-42.2377,-40.023
4.52437,-42.1236,-40.023
4.47331,-42.0105,-40.023
4.4127,-41.8986,-40.023
4.34331,-41.7883,-40.023
4.26586,-41.6797,-40.023
4.18107,-41.5731,-40.023
4.08962,-41.4686,-40.023
3.99218,-41.3663,-40.023
3.88938,-41.2665,-40.023
3.78185,-41.1693,-40.023
3.67019,-41.0747,-40.023
3.55494,-40.983,-40.023
3.43668,-40.8941,-40.023
3.3159,-40.8082,-40.023
3.1931,-40.7253,-40.023
3.06877,-40.6455,-40.023
2.94333,-40.5687,-40.023
2.81722,-40.4952,-40.023
2.69083,-40.4247,-40.023
2.56454,-40.3575,-40.023
2.4387,-40.2933,-40.023
2.31363,-40.2324,-40.023
2.18965,-40.1745,-40.023
2.06703,-40.1198,-40.023
1.94604,-40.0681,-40.023
1.82693,-40.0195,-40.023
1.70992,-39.9738,-40.023
1.5952,-39.931,-40.023
1.48297,-39.8912,-40.023
1.37339,-39.8541,-40.023
1.26661,-39.8198,-40.023
1.16276,-39.7881,-40.023
1.06196,-39.759,-40.023
0.964295,-39.7325,-40.023
0.869862,-39.7084,-40.023
0.778729,-39.6866,-40.023
0.690952,-39.6671,-40.023
0.606574,-39.6499,-40.023
0.525628,-39.6347,-40.023
0.448131,-39.6216,-40.023
0.374095,-39.6104,-40.023
0.303516,-39.601,-40.023
0.236383,-39.5934,-40.023
0.172677,-39.5875,-40.023
0.112465,-39.5832,-40.0222
0.0563362,-39.5804,-40.0157
0.00492827,-39.579,-40.0029
-0.0411632,-39.5789,-39.9835
-0.0813816,-39.5799,-39.9574
-0.115208,-39.5819,-39.9247
-0.142159,-39.5848,-39.885
-0.161789,-39.5884,-39.8384
-0.173683,-39.5924,-39.7847
-0.177461,-39.5967,-39.7237
-0.172774,-39.6012,-39.6554
-0.159301,-39.6055,-39.5796
-0.136751,-39.6095,-39.4961
-0.104861,-39.6129,-39.4048
-0.0633922,-39.6155,-39.3056
-0.0121329,-39.6171,-39.1983
0.0491057,-39.6174,-39.0828
0.12049,-39.6162,-38.959
0.202165,-39.6132,-38.8265
0.294254,-39.6081,-38.6854
0.396861,-39.6008,-38.5355
0.510072,-39.5908,-38.3766
0.633953,-39.5781,-38.2085
0.768555,-39.5622,-38.0312
0.913911,-39.543,-37.8444
1.07004,-39.5202,-37.648
1.23693,-39.4934,-37.442
1.41459,-39.4625,-37.226
1.60297,-39.4271,-37.0001
1.80204,-39.3871,-36.7641
2.01174,-39.342,-36.5178
2.232,-39.2917,-36.2612
2.46273,-39.2359,-35.9941
2.70383,-39.1743,-35.7166
2.95518,-39.1067,-35.4284
3.21667,-39.0329,-35.1296
3.48813,-38.9525,-34.82
3.76943,-38.8652,-34.4996
4.06037,-38.771,-34.1685
4.36077,-38.6695,-33.8266
4.67042,-38.5605,-33.4739
4.98911,-38.4437,-33.1105
5.31658,-38.319,-32.7364
5.65257,-38.1861,-32.3516
5.99681,-38.0448,-31.9563
6.349,-37.8948,-31.5506
6.70882,-37.7361,-31.1346
7.07593,-37.5684,-30.7086
7.44997,-37.3915,-30.2726
7.83055,-37.2053,-29.8269
8.21727,-37.0095,-29.3718
8.60969,-36.8041,-28.9075
9.00737,-36.5888,-28.4343
9.40983,-36.3636,-27.9526
9.81656,-36.1284,-27.4626
10.227,-35.883,-26.9648
10.6407,-35.6273,-26.4596
11.057,-35.3613,-25.9475
11.4754,-35.0849,-25.4287
11.8951,-34.798,-24.9039
12.3156,-34.5006,-24.3736
12.7362,-34.1927,-23.8382
13.1562,-33.8743,-23.2983
13.5749,-33.5454,-22.7544
13.9916,-33.206,-22.2072
14.4056,-32.8562,-21.6571
14.816,-32.4961,-21.1049
15.2222,-32.1257,-20.551
15.6233,-31.7451,-19.9962
16.0186,-31.3546,-19.441
16.4072,-30.9541,-18.886
16.7884,-30.5439,-18.3318
17.1615,-30.1242,-17.7792
17.5255,-29.6952,-17.2286
17.8797,-29.257,-16.6807
18.2234,-28.81,-16.136
18.5558,-28.3544,-15.5952
18.8761,-27.8905,-15.0587
19.1836,-27.4186,-14.5272
19.4777,-26.9391,-14.0011
19.7575,-26.4521,-13.481
20.0225,-25.9582,-12.9673
20.272,-25.4576,-12.4606
20.5055,-24.9508,-11.9612
20.7224,-24.4382,-11.4695
20.9221,-23.9201,-10.9861
21.1042,-23.3971,-10.5111
21.2682,-22.8695,-10.045
21.4138,-22.3378,-9.58802
21.5405,-21.8024,-9.14053
21.6481,-21.2639,-8.70274
21.7363,-20.7227,-8.2749
21.8049,-20.1793,-7.85722
21.8538,-19.6342,-7.44987
21.8827,-19.0878,-7.05301
21.8916,-18.5408,-6.6668
21.8806,-17.9935,-6.29132
21.8496,-17.4464,-5.92668
21.7987,-16.9002,-5.57293
21.7281,-16.3552,-5.23013
21.6378,-15.812,-4.89831
21.5281,-15.2711,-4.57746
21.3993,-14.7329,-4.2676
21.2516,-14.1979,-3.96869
21.0854,-13.6666,-3.68066
20.901,-13.1395,-3.40349
20.6989,-12.617,-3.13708
20.4795,-12.0995,-2.88137
20.2433,-11.5875,-2.63624
19.9908,-11.0814,-2.40158
19.7225,-10.5816,-2.17727
19.439,-10.0886,-1.96318
19.1409,-9.60261,-1.75915
18.8287,-9.12409,-1.56507
18.5032,-8.65337,-1.38073
18.165,-8.19079,-1.20601
17.8148,-7.73666,-1.04068
17.4531,-7.29129,-0.884617
17.0808,-6.85497,-0.737588
16.6985,-6.42795,-0.599423
16.3069,-6.01048,-0.469926
15.9068,-5.60281,-0.348881
15.4988,-5.20514,-0.236098
15.0838,-4.81767,-0.131351
14.6623,-4.44058,-0.0344354
14.2352,-4.07402,0.0548752
13.8031,-3.71814,0.136792
13.3668,-3.37306,0.211535
12.9269,-3.03889,0.279305
12.4843,-2.71572,0.340363
12.0394,-2.40361,0.394925
11.5931,-2.10262,0.443194
11.1461,-1.8128,0.485431
10.6988,-1.53414,0.521818
10.2521,-1.26667,0.552623
9.80647,-1.01037,0.578066
9.36259,-0.765211,0.598348
8.92103,-0.531146,0.613702
8.48238,-0.30812,0.624366
8.04718,-0.0960606,0.630542
7.61598,0.105119,0.632484
7.1893,0.295519,0.630373
6.76763,0.475251,0.624429
6.35146,0.644442,0.61489
5.94124,0.803228,0.60196
5.53741,0.951759,0.585837
5.14038,1.09019,0.566731
4.75055,1.2187,0.544835
4.3683,1.33747,0.520381
3.99395,1.44668,0.493515
3.62786,1.54652,0.464477
3.27032,1.63722,0.433424
2.92162,1.71898,0.400554
2.58202,1.79202,0.366041
2.25175,1.85657,0.33006
1.93104,1.91286,0.292767
1.62009,1.96114,0.254361
1.31906,2.00164,0.214974
1.02811,2.03462,0.174789
0.74738,2.06032,0.13393
0.476977,2.07901,0.092557
0.216993,2.09093,0.0508084
-0.032496,2.09636,0.00882753
-0.271438,2.09554,-0.0332624
-0.499799,2.08876,-0.0753494
-0.717562,2.07626,-0.117284
-0.92473,2.05832,-0.158981
-1.12132,2.0352,-0.200296
-1.30737,2.00717,-0.241163
-1.48293,1.97449,-0.281447
-1.64808,1.93741,-0.321092
-1.80288,1.89621,-0.359982
-1.94745,1.85114,-0.398042
-2.0819,1.80245,-0.435196
-2.20635,1.75041,-0.47138
-2.32094,1.69525,-0.506499
-2.42583,1.63722,-0.540522
-2.52117,1.57658,-0.573372
-2.60714,1.51355,-0.60502
-2.68393,1.44837,-0.63538
-2.75173,1.38127,-0.664448
-2.81074,1.31248,-0.692152
-2.86118,1.24221,-0.718481
-2.90327,1.17068,-0.7434
-2.93724,1.0981,-0.766884
-2.96332,1.02467,-0.788914
-2.98174,0.950585,-0.809474
-2.99277,0.876041,-0.828533
-2.99664,0.801222,-0.846107
-2.99362,0.726306,-0.862167
-2.98396,0.651466,-0.876745
-2.96792,0.576867,-0.889803
-2.94578,0.502669,-0.901362
-2.91779,0.429024,-0.911453
-2.88423,0.356079,-0.920058
-2.84536,0.283974,-0.927199
-2.80146,0.21284,-0.932884
-2.75279,0.142803,-0.93715
-2.69963,0.0739834,-0.940022
-2.64224,0.00649267,-0.941507
-2.58089,-0.0595633,-0.941633
-2.51584,-0.124085,-0.940446
-2.44736,-0.186981,-0.937946
-2.37571,-0.248166,-0.934197
-2.30115,-0.307558,-0.929229
-2.22393,-0.365087,-0.92306
-2.14429,-0.420685,-0.915736
-2.06249,-0.474293,-0.907296
-1.97877,-0.525855,-0.897787
