timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1590579968.14002419,39354252,57.6432,11.863,-0.03999999910593033,-0.1423235386610031,-0.1423235386610031
1590579968.18000817,39394236,57.6432,11.863,-0.03999999910593033,-0.14267882704734802,-0.14267882704734802
1590579968.21999216,39434220,57.6432,11.863,-0.03999999910593033,-0.14261852204799652,-0.14261852204799652
1590579968.25997615,39474204,57.6432,11.863,-0.03999999910593033,-0.14259909093379974,-0.14259909093379974
1590579968.29996014,39514188,57.6432,11.863,-0.03999999910593033,-0.14337372779846191,-0.14337372779846191
1590579968.33994412,39554172,57.6432,11.863,-0.03999999910593033,-0.14407820999622345,-0.14407820999622345
1590579968.37992811,39594156,57.6432,11.863,-0.03999999910593033,-0.14503753185272217,-0.14503753185272217
1590579968.41991210,39634140,57.6432,11.863,-0.03999999910593033,-0.14620177447795868,-0.14620177447795868
1590579968.45989609,39674124,57.6432,11.863,-0.03999999910593033,-0.14725208282470703,-0.14725208282470703
1590579968.49988008,39714108,57.6432,11.863,-0.03999999910593033,-0.14707081019878387,-0.14707081019878387
1590579968.53986406,39754092,57.6432,11.863,-0.03999999910593033,-0.14694170653820038,-0.14694170653820038
1590579968.57984805,39794076,57.6432,11.863,-0.03999999910593033,-0.14707982540130615,-0.14707982540130615
1590579968.61983204,39834060,57.6432,11.863,-0.03999999910593033,-0.14743651449680328,-0.14743651449680328
1590579968.65981603,39874044,57.643200099999994,11.863,-0.03999999910593033,-0.14777562022209167,-0.14777562022209167
1590579968.69980001,39914028,57.643200099999994,11.863,-0.03999999910593033,-0.14736983180046082,-0.14736983180046082
1590579968.73978400,39954012,57.643200199999995,11.863,-0.03999999910593033,-0.1470239907503128,-0.1470239907503128
1590579968.77976799,39993996,57.6432004,11.863,-0.03999999910593033,-0.14731673896312714,-0.14731673896312714
1590579968.81975198,40033980,57.6432006,11.863,-0.03999999910593033,-0.14813990890979767,-0.14813990890979767
1590579968.85973620,40073964,57.643200799999995,11.863,-0.03999999910593033,-0.1488397717475891,-0.1488397717475891
1590579968.89972019,40113948,57.6432011,11.863,-0.03999999910593033,-0.14892125129699707,-0.14892125129699707
1590579968.93970418,40153932,57.643201499999996,11.863,-0.03999999910593033,-0.14894728362560272,-0.14894728362560272
1590579968.97968817,40193916,57.643201899999994,11.863,-0.03999999910593033,-0.1487332135438919,-0.1487332135438919
1590579969.01967216,40233900,57.6432024,11.863,-0.03999999910593033,-0.14830684661865234,-0.14830684661865234
1590579969.05965614,40273884,57.643203,11.863,-0.03999999910593033,-0.14785046875476837,-0.14785046875476837
1590579969.09964013,40313868,57.6432037,11.863,-0.03999999910593033,-0.14613249897956848,-0.14613249897956848
1590579969.13962412,40353852,57.643204499999996,11.863,-0.03999999910593033,-0.14449988305568695,-0.14449988305568695
1590579969.17960811,40393836,57.6432054,11.863000099999999,-0.03999999910593033,-0.14359056949615479,-0.14359056949615479
1590579969.21959209,40433820,57.6432064,11.863000099999999,-0.03999999910593033,-0.1432519108057022,-0.1432519108057022
1590579969.25957608,40473804,57.643207499999995,11.863000099999999,-0.03999999910593033,-0.14276546239852905,-0.14276546239852905
1590579969.29956007,40513788,57.643208699999995,11.863000099999999,-0.03999999910593033,-0.14104145765304565,-0.14104145765304565
1590579969.33954406,40553772,57.6432101,11.863000099999999,-0.029999999329447746,-0.13928046822547913,-0.13928046822547913
1590579969.37952805,40593756,57.6432116,11.863000099999999,-0.029999999329447746,-0.13750454783439636,-0.13750454783439636
1590579969.41951203,40633740,57.6432132,11.8630002,-0.029999999329447746,-0.13568349182605743,-0.13568349182605743
1590579969.45949602,40673724,57.643215,11.8630002,-0.029999999329447746,-0.13375508785247803,-0.13375508785247803
1590579969.49948001,40713708,57.6432169,11.8630002,-0.029999999329447746,-0.13212241232395172,-0.13212241232395172
1590579969.53946400,40753692,57.6432189,11.8630002,-0.029999999329447746,-0.13025915622711182,-0.13025915622711182
1590579969.57944798,40793676,57.6432211,11.8630002,-0.019999999552965164,-0.12859925627708435,-0.12859925627708435
1590579969.61943197,40833660,57.6432235,11.8630003,-0.019999999552965164,-0.12705765664577484,-0.12705765664577484
1590579969.65941620,40873644,57.643226,11.8630003,-0.019999999552965164,-0.12517611682415009,-0.12517611682415009
1590579969.69940019,40913628,57.6432286,11.8630003,-0.019999999552965164,-0.1231883093714714,-0.1231883093714714
1590579969.73938417,40953612,57.6432314,11.8630003,-0.019999999552965164,-0.1207921952009201,-0.1207921952009201
1590579969.77936816,40993596,57.643234299999996,11.8630003,-0.009999999776482582,-0.11774444580078125,-0.11774444580078125
1590579969.81935215,41033580,57.6432374,11.8630003,-0.009999999776482582,-0.1141112670302391,-0.1141112670302391
1590579969.85933614,41073564,57.6432406,11.8630003,-0.009999999776482582,-0.11018016189336777,-0.11018016189336777
1590579969.89932013,41113548,57.643243899999995,11.863000399999999,0.0,-0.10539501905441284,-0.10539501905441284
1590579969.93930411,41153532,57.6432473,11.863000399999999,0.0,-0.10031759738922119,-0.10031759738922119
1590579969.97928810,41193516,57.6432509,11.863000399999999,0.0,-0.09489544481039047,-0.09489544481039047
1590579970.01927209,41233500,57.6432546,11.863000399999999,0.009999999776482582,-0.08914913982152939,-0.08914913982152939
1590579970.05925608,41273484,57.643258499999995,11.863000399999999,0.009999999776482582,-0.08311517536640167,-0.08311517536640167
1590579970.10007310,41314301,57.6432625,11.863000399999999,0.019999999552965164,-0.07785409688949585,-0.07785409688949585
